1	0
2	1
3	0
3	1
3	2
4	3
5	3
5	4
6	2
7	2
7	6
8	2
8	3
8	4
8	5
9	2
10	3
10	5
11	0
11	1
11	2
11	3
11	4
11	8
12	2
13	1
13	2
13	3
13	4
13	5
13	8
13	10
13	11
14	6
15	3
15	4
16	15
17	16
18	10
19	18
20	15
20	16
20	17
21	6
21	7
22	0
22	1
22	2
22	11
23	1
24	0
24	1
24	2
24	23
25	5
26	4
27	25
28	3
28	13
29	24
30	5
31	28
32	2
32	6
32	9
32	21
33	0
33	1
33	2
33	3
33	5
33	11
33	13
33	22
33	23
33	24
33	28
34	6
34	32
35	0
36	26
37	9
37	32
38	1
38	2
38	3
38	4
38	5
38	8
38	10
38	11
38	13
38	22
38	23
38	24
38	29
38	33
39	32
40	15
41	0
41	1
41	2
41	9
41	33
42	10
43	34
44	0
44	2
44	24
45	34
46	0
46	1
46	2
46	3
46	13
46	23
47	3
47	15
47	16
47	20
47	23
47	24
47	33
47	38
48	0
48	1
48	3
48	4
48	11
49	29
50	14
51	35
52	50
53	15
54	24
55	28
55	31
55	33
56	2
56	6
56	14
57	38
58	34
59	1
59	2
59	41
60	44
61	23
62	38
63	15
63	20
64	44
64	60
65	43
66	0
66	35
67	6
68	25
69	50
69	52
70	35
71	47
72	19
73	23
73	61
74	8
75	0
75	1
75	59
76	63
77	10
77	18
77	42
78	0
78	2
78	22
78	38
79	0
79	1
79	2
79	3
79	4
79	5
79	10
79	11
79	13
79	23
79	24
79	28
79	30
79	33
79	38
79	44
79	47
79	54
79	55
79	60
79	61
79	64
79	73
79	78
80	16
81	77
82	81
83	63
83	76
84	24
84	54
85	2
85	9
86	13
87	69
88	2
89	15
90	74
91	2
91	9
91	37
92	0
92	35
92	70
93	40
94	86
95	48
96	32
97	38
97	57
98	73
99	4
99	15
99	16
99	17
99	20
99	38
99	47
99	80
100	63
101	33
101	41
101	55
102	50
102	52
102	69
103	0
103	1
103	3
103	4
103	9
103	13
103	22
103	32
103	33
103	34
103	37
103	39
103	41
103	48
103	78
103	95
103	96
103	101
104	35
105	54
105	79
106	14
107	58
108	88
109	73
110	77
110	81
111	99
112	24
112	54
113	85
114	26
115	2
115	3
115	4
115	8
115	103
116	25
117	58
117	107
118	2
118	6
118	7
118	9
118	12
118	21
118	32
118	34
118	43
119	74
119	90
120	97
121	0
121	3
121	4
121	5
121	10
121	15
121	20
121	33
121	89
122	0
122	1
122	2
122	3
122	9
122	23
122	24
122	32
122	37
122	39
122	41
122	59
122	75
122	85
122	91
122	96
122	103
122	118
123	90
124	11
124	13
124	48
125	2
126	110
127	76
128	105
129	2
129	32
130	39
131	14
132	48
132	103
133	55
134	2
134	88
134	108
135	47
136	14
136	106
137	32
137	96
138	38
138	57
138	97
139	134
140	112
141	38
141	47
142	12
143	25
144	91
145	1
145	2
145	9
145	79
145	85
146	13
146	28
147	135
148	94
149	51
150	1
150	23
151	11
151	124
152	14
152	56
152	106
152	131
152	136
153	150
154	0
154	44
154	60
154	64
154	79
155	5
155	10
155	11
155	13
155	30
155	86
156	61
157	2
158	3
158	4
159	138
160	2
160	7
160	9
160	21
160	32
160	33
160	34
160	43
160	65
160	103
160	118
160	122
160	137
161	112
162	156
163	32
164	38
164	141
165	145
166	7
167	153
168	71
169	0
169	1
169	2
169	12
169	33
169	41
169	59
169	122
